ID;MedoideCalculado;CoordCSV;DistanciaDoCentro;Area;Perimetro;Compacidade;Excentricidade
6584;(45,21);(16,50);41.012193308819754;303;80;1.6808442834787627;0.22437898573339168
6585;(47,51);(50,50);3.1622776601683795;488;100;1.6306858923349932;0.5369614002494917
6586;(54,42);(50,50);8.94427190999916;860;150;2.0819687323067706;0.8790295098006511
6587;(55,53);(50,50);5.830951894845301;692;128;1.8841001355618594;0.7933606965516101
6588;(53,41);(50,50);9.486832980505138;545;126;2.3181136481898443;0.90713474843083
6589;(46,48);(50,50);4.47213595499958;882;138;1.7182237733798498;0.6350621981754708
6590;(24,43);(50,13);39.698866482558415;435;110;2.2135342659907282;0.5487590536497103
6591;(49,48);(50,50);2.23606797749979;354;94;1.9862896570056314;0.15706448647765775
6592;(47,48);(50,50);3.605551275463989;734;124;1.6670070878617047;0.5751504788076408
6593;(47,51);(50,50);3.1622776601683795;478;112;2.0883259478501417;0.815757063471217
6594;(48,50);(50,50);2.0;542;112;1.8417339540080584;0.6236549831172968
6595;(51,56);(50,50);6.082762530298219;459;136;3.206677371925595;0.684922452542496
6596;(49,50);(50,50);1.0;661;118;1.6763036517485255;0.7063344508576089
6597;(49,52);(50,50);2.23606797749979;337;130;3.990680323817554;0.769021183514117
6598;(45,57);(50,50);8.602325267042627;1119;232;3.8276834928410075;0.8455224199372335
6599;(48,55);(50,50);5.385164807134504;476;98;1.6055925141329443;0.6634702470067395
6600;(46,45);(50,50);6.4031242374328485;780;140;1.9996390285904801;0.4990019365520018
6601;(48,47);(50,50);3.605551275463989;493;116;2.1719968704305717;0.765750104222745
6602;(41,17);(8,50);46.66904755831214;524;73;0.8092907363899907;0.633856400495927
6603;(48,51);(50,50);2.23606797749979;334;82;1.6020326906435691;0.2804518970208434
6604;(48,49);(50,50);2.23606797749979;614;122;1.929040857475383;0.8415653738321864
6605;(53,50);(50,50);3.0;786;130;1.7110168818403506;0.693524493187454
6606;(51,50);(50,50);1.0;745;140;2.0935818017457373;0.7057098162416376
6607;(51,56);(50,50);6.082762530298219;332;82;1.6116834899847954;0.6667445701627438
6608;(47,51);(50,50);3.1622776601683795;603;114;1.7150726703335588;0.7211321248222973
6609;(47,52);(50,50);3.605551275463989;730;144;2.2604362328448913;0.7581339724151397
6610;(48,46);(50,50);4.47213595499958;300;78;1.6138311229518187;0.3740302689697757
6611;(52,49);(50,50);2.23606797749979;309;82;1.7316469860030814;0.5220120320637487
6612;(51,51);(50,50);1.4142135623730951;225;66;1.5406198491295469;0.5615560002654731
6613;(45,50);(50,50);5.0;400;90;1.6114437988054402;0.46921688388152133
6614;(43,50);(50,50);7.0;545;116;1.964760471783985;0.8808034293141463
6615;(51,56);(50,50);6.082762530298219;553;122;2.1418283661661577;0.7671461857175467
6616;(47,52);(50,50);3.605551275463989;298;78;1.6246622043139114;0.4873698216931826
6617;(47,54);(50,50);5.0;618;114;1.6734446928982782;0.5695837943277532
48;(49,46);(50,50);4.123105625617661;700;160;2.910261816537515;0.9446421997003659
49;(58,48);(50,50);8.246211251235321;1140;232;3.7571735337623573;0.8187375580798322
50;(52,48);(50,50);2.8284271247461903;832;176;2.962730479095282;0.7054331184473868
51;(56,52);(50,50);6.324555320336759;1303;325;6.45078314047638;0.9797624009887993
52;(41,52);(50,50);9.219544457292887;2461;306;3.0277594984463048;0.9225631169139257
53;(45,46);(50,50);6.4031242374328485;527;148;3.3075235991317604;0.9332966576463054
54;(48,49);(50,50);2.23606797749979;532;114;1.943963947765293;0.5733067188595535
55;(46,53);(50,50);5.0;935;146;1.8141961320571343;0.6292905557121574
56;(52,44);(50,50);6.324555320336759;1584;280;3.9386829351024604;0.8323856987645374
